key,kind,dataset,database_gib,mode,concurrency,replicas,offered_rps,repetition,requests,successful,rps,successful_rps,error_fraction,timeout_fraction,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_p999_s,latency_max_s,latency_cv,ttfb_p95_s,response_throughput_bytes_per_s,tap_api_cpu_cores_mean,postgres_cpu_cores_mean,postgres_read_bytes_per_s,cache_hit_ratio,bottleneck,invalid
conc-D3-c1-r0,concurrency,D3,25.284,closed,1,1,,0,20741,20741,115.22777777777777,115.22777777777777,0.0,0.0,0.00863622585849127,0.00688274999265559,0.017375791998347268,0.029395174601813758,0.05547440077643926,0.11756179199437611,0.634955176303772,0.015292208991013467,4879723.188888889,0.48781419395769143,0.25146744628310613,12659201.939768573,0.6832840611113485,DATABASE_IO_BOUND,False
conc-D3-c1-r1,concurrency,D3,25.284,closed,1,1,,1,25616,25616,142.3111111111111,142.3111111111111,0.0,0.0,0.006998320665152141,0.0056984374969033524,0.013123416756570805,0.01701352314412359,0.032212927312070136,0.10912204199121334,0.5111737302676747,0.010289958750945516,6008577.577777778,0.5559995228440646,0.2271488025900567,219157.41290380614,0.6959589958544248,DATABASE_IO_BOUND,False
conc-D3-c1-r2,concurrency,D3,25.284,closed,1,1,,2,23142,23142,128.56666666666666,128.56666666666666,0.0,0.0,0.007741007733125979,0.006208478982443921,0.01448698306194274,0.020864740971883296,0.04673002338310516,0.1263765420007985,0.562170858577885,0.012030279137252365,5538293.016666667,0.535210386929543,0.2544278931715617,30935.006811087536,0.6967384749822192,DATABASE_IO_BOUND,False
conc-D3-c2-r0,concurrency,D3,25.284,closed,2,1,,0,33602,33602,186.67777777777778,186.67777777777778,0.0,0.0,0.010692223293579203,0.009310645997175016,0.018423745186009907,0.024808208236354386,0.060728318496520085,0.7901217500038911,0.7580336506322785,0.01528366278798785,7947059.65,,,,0.700831296235509,DATABASE_IO_BOUND,False
conc-D3-c2-r1,concurrency,D3,25.284,closed,2,1,,1,36578,36578,203.2091457033397,203.2091457033397,0.0,0.0,0.009821099164778134,0.008852791506797075,0.016783291948377157,0.02002657609118616,0.03996771847960277,0.06432562501868233,0.37204436822233755,0.013229648156266196,8658170.703941874,0.8383336931787571,0.22276052288287912,1279.6299772848058,0.6985030955978857,DATABASE_IO_BOUND,False
conc-D3-c2-r2,concurrency,D3,25.284,closed,2,1,,2,36862,36862,204.78583924082838,204.78583924082838,0.0,0.0,0.009745218817548596,0.008759958494920284,0.016647390229627485,0.02007190950127551,0.03939340452404653,0.05147929201484658,0.36936423517449285,0.013066236843587828,8717587.217544558,0.8398725028128393,0.21713975302858005,762.7909477426567,0.6985569316980093,DATABASE_IO_BOUND,False
conc-D3-c4-r0,concurrency,D3,25.284,closed,4,1,,0,39279,39279,218.20329830466406,218.20329830466406,0.0,0.0,0.018311473973346162,0.017099958000471815,0.02977910830231848,0.03635677025886253,0.05404385255865067,0.0833651670254767,0.3377734127325714,0.024100761892623265,9289965.74997403,1.0520619116640009,0.2576839453043583,0.0,0.7050595276611232,TAP_CPU_BOUND,False
conc-D3-c4-r1,concurrency,D3,25.284,closed,4,1,,1,36644,36644,203.53233355159963,203.53233355159963,0.0,0.0,0.019631602200956794,0.017153791995951906,0.031077822412771627,0.09038332644413455,0.1813815925093084,0.3339423750003334,0.7032421599408432,0.024833477551874237,8671223.476051427,1.051236038614505,0.2516338277150023,261.78515408131904,0.702770083441051,TAP_CPU_BOUND,False
conc-D3-c4-r2,concurrency,D3,25.284,closed,4,1,,2,37024,37024,205.67501966257754,205.67501966257754,0.0,0.0,0.0194270193542362,0.018028728998615406,0.03168897138966713,0.03901441467140102,0.06321467702923196,0.17387220900855027,0.348558707887618,0.025649368844460695,8766786.726157077,1.0341183848253563,0.24994162786098378,0.0,0.7025005811796158,TAP_CPU_BOUND,False
sat-D3-c4-r0,saturation,D3,25.284,closed,4,1,,0,58493,58493,194.97041836570057,194.97041836570057,0.0,0.0,0.020494974613265316,0.019003416993655264,0.03372952458448707,0.04219576807110572,0.06492598817043493,0.10446358399349265,0.3508581487311656,0.02752342460444197,8127121.60663373,1.040714858013504,0.2539913585276413,53.96302685123057,0.7001552530194368,TAP_CPU_BOUND,False
sat-D3-c4-r1,saturation,D3,25.284,closed,4,1,,1,65807,65807,219.3472062389989,219.3472062389989,0.0,0.0,0.018216223342241794,0.016962124995188788,0.029610591899836433,0.036361550002475276,0.05600684504740654,0.13766425001085736,0.3418632640357805,0.023970121284946792,9302293.969463022,1.0446365380719758,0.2529893871557997,67.73289737018426,0.7014943421082469,TAP_CPU_BOUND,False
sat-D3-c4-r2,saturation,D3,25.284,closed,4,1,,2,66414,66414,221.37668416470967,221.37668416470967,0.0,0.0,0.018049188513340836,0.016860833013197407,0.02928195855056401,0.03564433064573676,0.054396259628091255,0.07608304099994712,0.33429572099713656,0.023598316543211692,9457850.571284264,1.0443827909395424,0.24427555631025752,156.9792086000296,0.7024938423291124,TAP_CPU_BOUND,False
sat-D3-c4-r3,saturation,D3,25.284,closed,4,1,,3,66935,66935,223.09849880776736,223.09849880776736,0.0,0.0,0.017909733648686293,0.016708875016774982,0.02897609550564084,0.03590794322139118,0.05484216900204787,0.08713370800251141,0.3366033981238794,0.023483146392391064,9403967.898261663,1.048928447611802,0.24317674208932985,207.8286876742624,0.7035205704702391,TAP_CPU_BOUND,False
sat-D3-c4-r4,saturation,D3,25.284,closed,4,1,,4,66520,66520,221.72687179036006,221.72687179036006,0.0,0.0,0.01802011483549474,0.016823333498905413,0.02926193089806474,0.03583168876590207,0.053822010493837946,0.07321324999793433,0.3343340592286119,0.023608456911460952,9498270.022337068,1.046014724959104,0.24373968886855482,219.56092658157561,0.7020267566776793,TAP_CPU_BOUND,False
stress-D3-Q09,stress,D3,25.284,closed,4,1,,0,9927,9927,165.42086282338153,165.42086282338153,0.0,0.0,0.024157332018319697,0.02354054100578651,0.03035762941290159,0.03773685183026827,0.06790624313405773,0.1946005409990903,0.24152339291243166,0.027447774994652712,8607840.017877482,0.8310885183295786,0.5558776153509891,0.0,0.9999772470587136,TAP_CPU_BOUND,False
stress-D3-Q11,stress,D3,25.284,closed,4,1,,0,802,802,13.339744217839874,13.339744217839874,0.0,0.0,0.299594956771758,0.2980708124960074,0.33789789792645025,0.3535562460808433,0.3800101753779462,0.38906758298981003,0.07297268517869479,0.08102345626684837,35261634.11869257,1.0111273551028115,0.16602999868636545,864.9626655743078,0.9991034377024179,TAP_CPU_BOUND,False
