key,kind,dataset,database_gib,mode,response_format,concurrency,replicas,offered_rps,repetition,requests,successful,rps,successful_rps,error_fraction,timeout_fraction,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_p999_s,latency_max_s,latency_cv,ttfb_p95_s,response_throughput_bytes_per_s,tap_api_cpu_cores_mean,postgres_cpu_cores_mean,postgres_read_bytes_per_s,cache_hit_ratio,bottleneck,invalid
conc-D1-c1-r0,concurrency,D1,2.058,closed,csv,1,1,,0,1697,1697,84.80715769622692,84.80715769622692,0.0,0.0,0.01176151763686211,0.010897496715188026,0.018883110117167232,0.026855625882744788,0.04340939540043733,0.1134909843094647,0.41166771031972654,0.015088317915797234,2339893.948271681,0.6955545975236402,0.15748312991306548,0.0,1.0,UNKNOWN,False
conc-D1-c2-r0,concurrency,D1,2.058,closed,csv,2,1,,0,1859,1859,92.91797951517314,92.91797951517314,0.0,0.0,0.021493799404570288,0.020097692031413317,0.03445398402400315,0.04280439740046864,0.0649693631027124,0.15007683308795094,0.34254611397964124,0.027434119349345563,2769203.854066594,0.8590551441392554,0.13715842089937977,0.0,1.0,TAP_CPU_BOUND,False
conc-D1-c4-r0,concurrency,D1,2.058,closed,csv,4,1,,0,2017,2017,100.62977735368503,100.62977735368503,0.0,0.0,0.03970360474953734,0.0377763039432466,0.06058740708976982,0.07811371725052592,0.148783028546721,0.15466264076530933,0.32662434000741897,0.05076516903936861,2955154.659110647,0.9842851859979247,0.15543727009881955,0.0,1.0,TAP_CPU_BOUND,False
conc-D1-c8-r0,concurrency,D1,2.058,closed,csv,8,1,,0,1880,1880,93.78822927375792,93.78822927375792,0.0,0.0,0.08517296525322773,0.08084646007046103,0.1326222664909437,0.17615503771696242,0.22994052825915004,0.29076547734439373,0.3069818193465347,0.10859648738987741,2795161.168335524,1.010481724740044,0.14302710942148023,0.0,1.0,TAP_CPU_BOUND,False
prof-D1-c4-base-r0,profile,D1,2.058,closed,csv,4,1,,0,14474,14474,96.4830443947879,96.4830443947879,0.0,0.0,0.041426048182332996,0.03915351792238653,0.06407764216419308,0.08210914675612004,0.14871539001120304,0.17598182009533048,0.3176608606421833,0.053358227270655326,2879991.131476337,1.0139239684922057,0.15490801706891721,0.0,1.0,TAP_CPU_BOUND,False
prof-D1-c4-base-r1,profile,D1,2.058,closed,csv,4,1,,1,14380,14380,95.8505542456842,95.8505542456842,0.0,0.0,0.04169981379695988,0.039323057513684034,0.06539145410060883,0.08511554724536828,0.15612575355172184,0.19289188226684928,0.3282426979123008,0.054635865637101225,2881273.4463193617,1.0154839332050842,0.15065826660850853,0.0,1.0,TAP_CPU_BOUND,False
prof-D1-c4-gil-r0,profile,D1,2.058,closed,csv,4,1,,0,57184,57184,95.3019972299876,95.3019972299876,0.0,0.0,0.04194051075853488,0.03966003376990557,0.06505953094456345,0.08369552361313251,0.15238725279271706,0.22164366487413645,0.3215752520997916,0.05439104777760804,2810164.9992319536,0.993340820512927,0.15006574616480575,0.0,1.0,TAP_CPU_BOUND,False
prof-D1-c4-all-r0,profile,D1,2.058,closed,csv,4,1,,0,58214,58214,97.02052586367351,97.02052586367351,0.0,0.0,0.041198280052522435,0.03890203754417598,0.06377325023058801,0.08193005592096607,0.15186678814189547,0.21114550810307264,0.3211116208968429,0.053498424100689584,2860411.645326918,0.9963214132423143,0.15010954177532704,0.0,1.0,TAP_CPU_BOUND,False
prof-D1-c4-authverify-r0,profile,D1,2.058,closed,csv,4,1,,0,14273,14273,95.13415031977038,95.13415031977038,0.0,0.0,0.04201334530644519,0.03978436067700386,0.06431953283026814,0.08245696099475044,0.15167167327925565,0.1754529639147222,0.30546291681571447,0.05199171574786305,2830907.4776178333,1.0399280344164294,0.14917780371973885,0.0,1.0,TAP_CPU_BOUND,False
prof-D1-c4-authverify-r1,profile,D1,2.058,closed,csv,4,1,,1,14253,14253,95.00112180193456,95.00112180193456,0.0,0.0,0.04207308820299117,0.03982931422069669,0.06506445407867431,0.08206552857533095,0.15283164816908648,0.19887160835787654,0.3083432421827112,0.052202432509511704,2852639.049658808,1.0507410699537587,0.14948610594982573,0.0,1.0,TAP_CPU_BOUND,False
