key,kind,dataset,database_gib,mode,response_format,concurrency,replicas,workers,offered_rps,repetition,requests,successful,rps,successful_rps,error_fraction,timeout_fraction,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_p999_s,latency_max_s,latency_cv,ttfb_p95_s,response_throughput_bytes_per_s,tap_api_cpu_cores_mean,postgres_cpu_cores_mean,postgres_read_bytes_per_s,cache_hit_ratio,bottleneck,invalid
wsweep-w1-n1-D1-c1-r0,worker_sweep,D1,2.058,closed,csv,1,1,1,,0,3855,3855,85.63171958872223,85.63171958872223,0.0,0.0,0.01164912025621777,0.010780422016978264,0.02290047677233815,0.027317772340029477,0.031423177483491625,0.1226629801094532,0.38867656583121885,0.014781968202441926,2567118.669025645,0.7529668721267211,0.1265472513839864,0.0,0.9495989360252605,DATABASE_IO_BOUND,False
wsweep-w1-n1-D1-c1-r1,worker_sweep,D1,2.058,closed,csv,1,1,1,,1,3866,3866,85.89218825778889,85.89218825778889,0.0,0.0,0.011612643067981803,0.010723301442340016,0.02054441603831947,0.027063655573874707,0.030986135264393047,0.11823230935260653,0.40321509842879094,0.014863100368529558,2537733.9356741947,0.7636831711165515,0.12217529448622556,0.0,0.9980655331574021,UNKNOWN,False
wsweep-w1-n1-D1-c2-r0,worker_sweep,D1,2.058,closed,csv,2,1,1,,0,4381,4381,97.31778364776673,97.31778364776673,0.0,0.0,0.020512571900082155,0.019325993955135345,0.032907651737332344,0.04046826791018245,0.051795927183705064,0.14227218087762594,0.3188814106522276,0.02566528832539916,2901681.4383493573,0.9431767256857482,0.1446529819765181,0.0,0.9995846202460679,TAP_CPU_BOUND,False
wsweep-w1-n1-D1-c2-r1,worker_sweep,D1,2.058,closed,csv,2,1,1,,1,4403,4403,97.8177075728645,97.8177075728645,0.0,0.0,0.02040700537882121,0.019106640946120024,0.032921780552715066,0.04105352982878682,0.05444012181367917,0.14105263026431203,0.32390443533850866,0.02561931819655,2912813.829948176,0.9339715610904463,0.14014437252077022,0.0,0.9997230615286742,TAP_CPU_BOUND,False
wsweep-w1-n1-D1-c4-r0,worker_sweep,D1,2.058,closed,csv,4,1,1,,0,4464,4464,99.14361572871772,99.14361572871772,0.0,0.0,0.04029700674121201,0.03816886944696307,0.06119744195602833,0.07730756965931503,0.14212241179496066,0.18867653282359242,0.30121236903402754,0.05107498553115874,2892232.0831108876,1.0355360035585432,0.1579411793307523,0.0,0.9998075410759601,TAP_CPU_BOUND,False
wsweep-w1-n1-D1-c4-r1,worker_sweep,D1,2.058,closed,csv,4,1,1,,1,4442,4442,98.60253915836724,98.60253915836724,0.0,0.0,0.04050030828686745,0.038153984351083636,0.062234207522124045,0.07905638493597508,0.1448894940512258,0.16166361374780536,0.30420572439144106,0.05164457559585571,3015154.8805402224,1.0418494677552366,0.15603553124703545,0.0,0.9998753263333225,TAP_CPU_BOUND,False
wsweep-w1-n2-D1-c1-r0,worker_sweep,D1,2.058,closed,csv,1,2,1,,0,3803,3803,84.4980113542862,84.4980113542862,0.0,0.0,0.011803780867155644,0.01091831224039197,0.022933076135814145,0.02752016127109528,0.03192949730996052,0.1126960120163858,0.3744263453286016,0.014915729407221079,2533067.3198925476,0.7541065982455218,0.12342141789563346,0.0,0.9999985003809032,UNKNOWN,False
wsweep-w1-n2-D1-c1-r1,worker_sweep,D1,2.058,closed,csv,1,2,1,,1,3825,3825,84.98910527016315,84.98910527016315,0.0,0.0,0.011736089221621846,0.010841731913387775,0.02096986547112462,0.027247113920748234,0.030708307374268856,0.12042670231312513,0.3804853276762378,0.015133325848728417,2513918.274846798,0.7305334299222419,0.12542127938667214,0.0,1.0,UNKNOWN,False
wsweep-w1-n2-D1-c2-r0,worker_sweep,D1,2.058,closed,csv,2,2,1,,0,7354,7354,163.40379398579714,163.40379398579714,0.0,0.0,0.012207823168946825,0.011260231724008918,0.023696566978469488,0.028300267010927208,0.034701729686931325,0.12170786783099174,0.40473614314184947,0.015555826155468822,5033665.405765262,1.5192565278761399,0.23844633953570976,0.0,0.9999646669939355,UNKNOWN,False
wsweep-w1-n2-D1-c2-r1,worker_sweep,D1,2.058,closed,csv,2,2,1,,1,4397,4397,97.68535909434182,97.68535909434182,0.0,0.0,0.020436857055812524,0.019119080156087875,0.033017019927501674,0.03982507498934865,0.0513058253023774,0.12130358116701245,0.3113325066036662,0.02563688401132822,2896200.9641675414,0.9550734552200839,0.1415765022499382,0.0,1.0,UNKNOWN,False
wsweep-w1-n2-D1-c4-r0,worker_sweep,D1,2.058,closed,csv,4,2,1,,0,7996,7996,177.57993066252516,177.57993066252516,0.0,0.0,0.022479955157814355,0.02328522363677621,0.04249415977392346,0.056609209650196196,0.12634073111694874,0.1630746154114604,0.5468134776611847,0.03658314934000373,5392362.104059755,1.740501570972886,0.26580403616814563,0.0,0.9999860714437436,TAP_CPU_BOUND,False
wsweep-w1-n2-D1-c4-r1,worker_sweep,D1,2.058,closed,csv,4,2,1,,1,4418,4418,98.10641473135571,98.10641473135571,0.0,0.0,0.04071179450883358,0.038188676815479994,0.06305274085607378,0.08215564705897122,0.15569899756322153,0.16840993193909526,0.3188489943258267,0.051792733650654545,2985244.786210033,1.0328699972430548,0.15250740699899998,0.0,1.0,UNKNOWN,False
wsweep-w1-n2-D1-c8-r0,worker_sweep,D1,2.058,closed,csv,8,2,1,,0,8555,8555,189.85064942723042,189.85064942723042,0.0,0.0,0.04205952041647993,0.03914346033707261,0.06947355102747678,0.09760780896060142,0.16786574899312154,0.21174632385373116,0.41166930114324346,0.0610024818219244,5639409.306460853,2.049113171702403,0.29355511865251155,0.0,0.9999570256741845,TAP_CPU_BOUND,False
wsweep-w1-n2-D1-c8-r1,worker_sweep,D1,2.058,closed,csv,8,2,1,,1,8549,8549,189.8607582734918,189.8607582734918,0.0,0.0,0.04208606032220846,0.03895277809351683,0.07063685311004518,0.09996177982538952,0.15745236477442567,0.2255445527844131,0.4103772917788782,0.06191722312942145,5748772.224233747,2.0548032720855036,0.29379632246706233,0.0,0.9999656367637353,TAP_CPU_BOUND,False
wsweep-w1-n2-D1-c16-r0,worker_sweep,D1,2.058,closed,csv,16,2,1,,0,8240,8240,182.91057819723977,182.91057819723977,0.0,0.0,0.0873787414055381,0.07816340704448521,0.16237944490276265,0.22457343713380395,0.2756244640601808,0.35564016504213214,0.5016902441552866,0.14244890939444302,5452168.769736481,2.1288436425893806,0.29880354540309034,0.0,0.9999979442578668,TAP_CPU_BOUND,False
wsweep-w1-n2-D1-c16-r1,worker_sweep,D1,2.058,closed,csv,16,2,1,,1,8298,8298,183.9924063737626,183.9924063737626,0.0,0.0,0.08679552871314596,0.06946052028797567,0.1739653747994452,0.23440484970808081,0.2799391607395461,0.3009728449396789,0.6061075340432599,0.15374731307383618,5624440.965624439,2.1373137402423636,0.29529126186548454,0.0,0.9999880506810448,TAP_CPU_BOUND,False
wsweep-w1-n4-D1-c1-r0,worker_sweep,D1,2.058,closed,csv,1,4,1,,0,3860,3860,85.77738875577305,85.77738875577305,0.0,0.0,0.011628450026827348,0.010751446476206183,0.022675808006897547,0.02695774295832961,0.03036724401032584,0.11561471782624722,0.3798842992649737,0.014922951441258192,2573457.9287218573,0.7770495194270182,0.12281527912583153,0.0,1.0,UNKNOWN,False
wsweep-w1-n4-D1-c1-r1,worker_sweep,D1,2.058,closed,csv,1,4,1,,1,3880,3880,86.1919410090536,86.1919410090536,0.0,0.0,0.01157159945044244,0.01070199883542955,0.020095231034792924,0.0271001482848078,0.031732157538645056,0.11917833611369133,0.3826591494154187,0.014867773675359783,2545332.766001206,0.7660662066246718,0.1203688773034355,0.0,1.0,UNKNOWN,False
wsweep-w1-n4-D1-c2-r0,worker_sweep,D1,2.058,closed,csv,2,4,1,,0,7313,7313,162.48502827015702,162.48502827015702,0.0,0.0,0.012275768280995641,0.011286066845059395,0.023899135924875716,0.028719714693725112,0.032607797056436724,0.12919376976788044,0.40856198228491963,0.01568416869267821,5023179.7895062845,1.5038703596670309,0.2360070332309471,0.0,1.0,UNKNOWN,False
wsweep-w1-n4-D1-c2-r1,worker_sweep,D1,2.058,closed,csv,2,4,1,,1,4393,4393,97.59481254462042,97.59481254462042,0.0,0.0,0.02045497030154169,0.0191343086771667,0.032907900679856536,0.03961092367768287,0.0532157904431224,0.14847291680052876,0.31803066637819966,0.025608543306589113,2898854.651488004,0.9439138796452299,0.14387648908551734,0.0,1.0,UNKNOWN,False
wsweep-w1-n4-D1-c4-r0,worker_sweep,D1,2.058,closed,csv,4,4,1,,0,8433,8433,187.35072436513406,187.35072436513406,0.0,0.0,0.02130845946256594,0.020067241974174976,0.0339700604788959,0.042413981091231116,0.11749298823997387,0.1500022322870791,0.32744078196463666,0.026700936164706944,5748698.8409581985,1.8770620746116888,0.28249750646751187,0.0,0.9999894664285202,UNKNOWN,False
wsweep-w1-n4-D1-c4-r1,worker_sweep,D1,2.058,closed,csv,4,4,1,,1,11311,11311,251.29681603680763,251.29681603680763,0.0,0.0,0.015879540995995808,0.013764201197773218,0.028405603487044573,0.03884824481792745,0.05088039331138149,0.13333553029224277,0.45408625325891744,0.023770973086357117,7449674.938115058,2.425596017701027,0.36871064195345576,0.0,0.9999785014726491,UNKNOWN,False
wsweep-w1-n4-D1-c8-r0,worker_sweep,D1,2.058,closed,csv,8,4,1,,0,12244,12244,271.91091129571925,271.91091129571925,0.0,0.0,0.029371517082901137,0.02808034745976329,0.04727654901798815,0.06121310182381421,0.13301095460821202,0.17228742502629757,0.360960345881034,0.03973682709038258,8332658.4436558,2.9064435687794172,0.42414558648057105,0.0,1.0,UNKNOWN,False
wsweep-w1-n4-D1-c8-r1,worker_sweep,D1,2.058,closed,csv,8,4,1,,1,11717,11717,260.29622613569734,260.29622613569734,0.0,0.0,0.0306903820922758,0.03058994421735406,0.05721652628853917,0.07549855621531606,0.14961752946116247,0.19730278197675943,0.5322594398600199,0.04857551315799353,7896904.163499343,2.7761387754724165,0.401415432437068,0.0,1.0,UNKNOWN,False
wsweep-w1-n4-D1-c16-r0,worker_sweep,D1,2.058,closed,csv,16,4,1,,0,15023,15023,333.45168262681335,333.45168262681335,0.0,0.0,0.04791216011206423,0.0387026839889586,0.11081178099848327,0.15796223296783873,0.2078896096143884,0.27451722603291273,0.6983569387939349,0.09654266242869199,9931608.017473748,3.778196682182243,0.5253264557564392,0.0,0.9999906562874216,TAP_CPU_BOUND,False
