target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
egernia-local,egernia,mix,votable,1,1,335,0.0,2.792,0.017324,2.05333,2.052898,50201.0,0.035,True
dachs-local,dachs,mix,votable,1,1,374,0.0,3.106,0.18531,0.630813,0.630344,48641.1,0.02,True
egernia-local,egernia,mix,votable,1,2,327,0.0,2.683,0.01499,2.039642,2.039096,53745.9,0.025,True
dachs-local,dachs,mix,votable,1,2,373,0.0,3.104,0.194387,0.609756,0.609268,54852.5,0.02,True
egernia-local,egernia,mix,votable,1,3,383,0.0,3.188,0.015637,2.052454,2.05173,66455.6,0.03,True
dachs-local,dachs,mix,votable,1,3,392,0.0,3.262,0.177263,0.57243,0.571925,65096.8,0.015,True
egernia-local,egernia,mix,votable,4,1,1099,0.0,8.983,0.019959,2.784902,2.784219,60735.8,0.035,True
dachs-local,dachs,mix,votable,4,1,1166,0.0,9.671,0.3453,0.766424,0.765942,56801.3,0.015,True
egernia-local,egernia,mix,votable,4,2,1020,0.0,8.378,0.017464,3.145179,3.14473,57886.3,0.03,True
dachs-local,dachs,mix,votable,4,2,1164,0.0,9.681,0.356044,0.757094,0.756579,55262.1,0.015,True
egernia-local,egernia,mix,votable,4,3,1108,0.0,9.133,0.018232,2.987125,2.986607,60107.3,0.035,True
dachs-local,dachs,mix,votable,4,3,1174,0.0,9.755,0.335676,0.774964,0.774503,57728.4,0.015,True
egernia-local,egernia,mix,votable,8,1,1572,0.0,12.764,0.032282,3.883274,3.880403,59053.2,0.045,True
dachs-local,dachs,mix,votable,8,1,1324,0.0,10.982,0.691043,1.145423,1.1449,57988.6,0.02,True
egernia-local,egernia,mix,votable,8,2,1533,0.0,12.527,0.028521,3.928384,3.927805,58546.8,0.055,True
dachs-local,dachs,mix,votable,8,2,1383,0.0,11.463,0.689997,1.128231,1.127631,56378.7,0.015,True
egernia-local,egernia,mix,votable,8,3,1442,0.0,11.689,0.030425,3.935515,3.935049,60614.0,0.04,True
dachs-local,dachs,mix,votable,8,3,1394,0.0,11.527,0.670154,1.120609,1.119842,58774.1,0.015,True
egernia-local,egernia,mix,votable,16,1,1575,0.0,12.875,0.562758,4.560603,4.56002,59261.6,0.04,True
dachs-local,dachs,mix,votable,16,1,1346,0.0,11.095,1.427163,1.921906,1.921379,57714.3,0.015,True
egernia-local,egernia,mix,votable,16,2,1597,0.0,12.877,0.322781,4.139415,4.137695,59285.2,0.03,True
dachs-local,dachs,mix,votable,16,2,1350,0.0,11.134,1.424186,1.902255,1.901493,55656.2,0.015,True
egernia-local,egernia,mix,votable,16,3,1488,0.0,11.883,0.451965,4.761495,4.760652,60926.1,0.035,True
dachs-local,dachs,mix,votable,16,3,1328,0.0,10.959,1.443685,1.916535,1.91608,59361.5,0.015,True
egernia-local,egernia,mix,votable,32,1,1623,0.0,13.086,2.192338,6.233692,6.231164,58880.7,0.04,True
dachs-local,dachs,mix,votable,32,1,1339,0.0,10.891,2.905949,3.420105,3.419381,58096.0,0.02,True
egernia-local,egernia,mix,votable,32,2,1561,0.0,12.524,2.058152,6.150236,6.149534,58496.1,0.025,True
dachs-local,dachs,mix,votable,32,2,1344,0.0,10.959,2.904763,3.417962,3.417459,55734.4,0.02,True
egernia-local,egernia,mix,votable,32,3,1500,0.0,11.861,2.437139,6.628666,6.628084,60785.0,0.03,True
dachs-local,dachs,mix,votable,32,3,1344,0.0,10.975,2.893965,3.429695,3.429091,59290.4,0.02,True
egernia-local,egernia,Q01,votable,1,1,21083,0.0,175.687,0.005243,0.00759,0.007037,2682.0,0.31,True
dachs-local,dachs,Q01,votable,1,1,2544,0.0,21.199,0.038526,0.131723,0.131238,4706.0,0.045,True
egernia-local,egernia,Q01,votable,1,2,21102,0.0,175.843,0.005246,0.00769,0.007113,2682.0,0.305,True
dachs-local,dachs,Q01,votable,1,2,2507,0.0,20.884,0.038462,0.139111,0.13863,4706.0,0.045,True
egernia-local,egernia,Q01,votable,1,3,21073,0.0,175.608,0.005246,0.007558,0.007013,2682.0,0.305,True
dachs-local,dachs,Q01,votable,1,3,2477,0.0,20.639,0.038496,0.146346,0.145914,4706.0,0.05,True
egernia-local,egernia,Q01,votable,4,1,25619,0.0,213.471,0.017777,0.026942,0.025436,2682.0,0.14,True
dachs-local,dachs,Q01,votable,4,1,2123,0.0,17.678,0.212669,0.338531,0.33805,4706.0,0.015,True
egernia-local,egernia,Q01,votable,4,2,25468,0.0,212.209,0.017888,0.027035,0.025386,2682.0,0.125,True
dachs-local,dachs,Q01,votable,4,2,2131,0.0,17.744,0.209812,0.343286,0.342775,4706.0,0.035,True
egernia-local,egernia,Q01,votable,4,3,25582,0.0,213.172,0.017825,0.026879,0.025246,2682.0,0.135,True
dachs-local,dachs,Q01,votable,4,3,2106,0.0,17.544,0.210306,0.345388,0.344927,4706.0,0.035,True
egernia-local,egernia,Q01,votable,8,1,24452,0.0,203.718,0.037641,0.055998,0.052972,2682.0,0.135,True
dachs-local,dachs,Q01,votable,8,1,2055,0.0,17.079,0.483477,0.573344,0.572846,4706.0,0.02,True
egernia-local,egernia,Q01,votable,8,2,24477,0.0,203.923,0.037668,0.05588,0.052806,2682.0,0.13,True
dachs-local,dachs,Q01,votable,8,2,2024,0.0,16.827,0.488158,0.589249,0.588737,4706.0,0.02,True
egernia-local,egernia,Q01,votable,8,3,24551,0.0,204.538,0.037475,0.055368,0.052338,2682.0,0.125,True
dachs-local,dachs,Q01,votable,8,3,2004,0.0,16.673,0.492045,0.598028,0.597532,4706.0,0.015,True
egernia-local,egernia,Q01,votable,16,1,23705,0.0,197.483,0.078577,0.107711,0.102158,2682.0,0.12,True
dachs-local,dachs,Q01,votable,16,1,1830,0.0,15.135,1.049342,1.239048,1.238547,4706.0,0.02,True
egernia-local,egernia,Q01,votable,16,2,23647,0.0,197.005,0.078648,0.107657,0.102034,2682.0,0.125,True
dachs-local,dachs,Q01,votable,16,2,1800,0.0,14.936,1.066505,1.272645,1.272139,4706.0,0.015,True
egernia-local,egernia,Q01,votable,16,3,23687,0.0,197.334,0.078623,0.1081,0.102406,2682.0,0.125,True
dachs-local,dachs,Q01,votable,16,3,1800,0.0,14.902,1.072442,1.259548,1.259048,4706.0,0.02,True
egernia-local,egernia,Q01,votable,32,1,22324,0.0,185.882,0.16723,0.213641,0.207518,2682.0,0.115,True
dachs-local,dachs,Q01,votable,32,1,1802,0.0,14.841,2.159895,2.307324,2.306793,4706.0,0.02,True
egernia-local,egernia,Q01,votable,32,2,22347,0.0,186.078,0.166941,0.215667,0.20955,2682.0,0.12,True
dachs-local,dachs,Q01,votable,32,2,1796,0.0,14.776,2.168494,2.313411,2.312936,4706.0,0.02,True
egernia-local,egernia,Q01,votable,32,3,22318,0.0,185.846,0.166738,0.21433,0.208654,2682.0,0.125,True
dachs-local,dachs,Q01,votable,32,3,1781,0.0,14.642,2.184872,2.340826,2.340316,4706.0,0.02,True
egernia-local,egernia,Q02,votable,1,1,59,0.0,0.49,2.029839,2.134837,2.134375,52491.8,0.005,True
dachs-local,dachs,Q02,votable,1,1,643,0.0,5.357,0.170531,0.33983,0.339365,50916.8,0.02,True
egernia-local,egernia,Q02,votable,1,2,59,0.0,0.491,2.028516,2.079786,2.079276,52505.3,0.005,True
dachs-local,dachs,Q02,votable,1,2,640,0.0,5.331,0.17098,0.340951,0.340507,50913.7,0.02,True
egernia-local,egernia,Q02,votable,1,3,59,0.0,0.491,2.039539,2.06568,2.06509,52503.0,0.005,True
dachs-local,dachs,Q02,votable,1,3,641,0.0,5.331,0.171043,0.341712,0.341257,50874.1,0.02,True
egernia-local,egernia,Q02,votable,4,1,174,0.0,1.418,2.818496,3.423731,3.423179,52526.2,0.01,True
dachs-local,dachs,Q02,votable,4,1,1329,0.0,11.053,0.351062,0.533871,0.533417,50898.6,0.015,True
egernia-local,egernia,Q02,votable,4,2,179,0.0,1.466,2.749479,3.277541,3.276574,52492.4,0.01,True
dachs-local,dachs,Q02,votable,4,2,1335,0.0,11.078,0.351509,0.532749,0.532224,50890.7,0.015,True
egernia-local,egernia,Q02,votable,4,3,176,0.0,1.434,2.71331,3.493831,3.493191,52561.9,0.01,True
dachs-local,dachs,Q02,votable,4,3,1338,0.0,11.14,0.34624,0.532868,0.532322,50885.1,0.015,True
egernia-local,egernia,Q02,votable,8,1,272,0.0,2.261,3.538234,3.589567,3.586024,52511.2,0.01,True
dachs-local,dachs,Q02,votable,8,1,1287,0.0,10.691,0.745443,0.947397,0.946883,50900.4,0.015,True
egernia-local,egernia,Q02,votable,8,2,280,0.0,2.268,3.531859,3.584008,3.580807,52497.9,0.01,True
dachs-local,dachs,Q02,votable,8,2,1280,0.0,10.619,0.752921,0.954441,0.953945,50888.9,0.015,True
egernia-local,egernia,Q02,votable,8,3,272,0.0,2.265,3.541177,3.595139,3.5945,52532.2,0.01,True
dachs-local,dachs,Q02,votable,8,3,1298,0.0,10.763,0.739562,0.940797,0.94032,50880.0,0.015,True
egernia-local,egernia,Q02,votable,16,1,284,0.0,2.239,7.050324,7.153245,7.152273,52509.8,0.01,True
dachs-local,dachs,Q02,votable,16,1,1244,0.0,10.264,1.551027,1.813173,1.812693,50901.3,0.015,True
egernia-local,egernia,Q02,votable,16,2,287,0.0,2.27,7.015172,7.124386,7.118031,52492.0,0.015,True
dachs-local,dachs,Q02,votable,16,2,1242,0.0,10.26,1.536261,1.843014,1.842095,50887.9,0.015,True
egernia-local,egernia,Q02,votable,16,3,288,0.0,2.269,7.059861,7.134428,7.130495,52523.0,0.01,True
dachs-local,dachs,Q02,votable,16,3,1244,0.0,10.277,1.547763,1.858661,1.858075,50881.4,0.015,True
egernia-local,egernia,Q02,votable,32,1,615,0.539837,4.836,6.955186,8.998228,8.997636,24358.1,0.015,True
