target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
egernia-local,egernia,mix,votable,1,1,6651,0.0,55.423,0.013902,0.034131,0.032631,58762.0,0.14,True
dachs-local,dachs,mix,votable,1,1,357,0.0,2.966,0.344013,0.586856,0.586393,49704.6,0.015,True
egernia-local,egernia,mix,votable,1,2,6609,0.0,55.074,0.013809,0.034201,0.032675,57000.6,0.13,True
dachs-local,dachs,mix,votable,1,2,359,0.0,2.98,0.330455,0.583488,0.582996,52984.9,0.015,True
egernia-local,egernia,mix,votable,1,3,6719,0.0,55.989,0.013688,0.033927,0.032261,59085.0,0.14,True
dachs-local,dachs,mix,votable,1,3,376,0.0,3.129,0.244462,0.580225,0.579665,64510.9,0.015,True
egernia-local,egernia,mix,votable,4,1,16580,0.0,138.086,0.023977,0.051923,0.047516,58795.3,0.1,True
dachs-local,dachs,mix,votable,4,1,1058,0.0,8.765,0.448801,0.846809,0.846171,56449.4,0.035,True
egernia-local,egernia,mix,votable,4,2,16431,0.0,136.893,0.023943,0.05267,0.048139,58131.7,0.105,True
dachs-local,dachs,mix,votable,4,2,1084,0.0,8.986,0.428915,0.845425,0.844937,55842.7,0.015,True
egernia-local,egernia,mix,votable,4,3,16419,0.0,136.724,0.02412,0.05251,0.048044,58287.4,0.1,True
dachs-local,dachs,mix,votable,4,3,1077,0.0,8.939,0.423672,0.859582,0.859064,56094.5,0.015,True
egernia-local,egernia,mix,votable,8,1,17574,0.0,146.272,0.049459,0.088081,0.078342,58530.5,0.1,True
dachs-local,dachs,mix,votable,8,1,1243,0.0,10.292,0.766627,1.261714,1.261226,57693.6,0.015,True
egernia-local,egernia,mix,votable,8,2,17534,0.0,146.083,0.049074,0.088938,0.079754,58270.4,0.105,True
dachs-local,dachs,mix,votable,8,2,1250,0.0,10.346,0.778895,1.230088,1.229568,55718.3,0.015,True
